"Note","Description","key"
"5,0","Cette suite de sonic est incroyable !Le fan que je suis est ravi, en 1992 quand j y jouais sur megadrive on m aurait montré ce film je serais devenu dingue !L univers du jeu est parfaitement respecté, avec amour et passion 
spoiler: 
 Tails et son avion, knuckle, robotnik et ses robot guêpes, sonic au fond de l eau qui absorbe des bulles d oxygene, les émeraudes, les clins d œil à droite à gauche qui rendent hommage au jeu, et bon sang la transformation en SUPER SONIC !!!!! Juste magnifique 
 l'histoire est toujours aussi sympathique avec Sonic et sa petite famille adoptive, et Jim Carrey est incroyable en Eggman...Ce film est une merveille vivement la suite",0
"4,0","une bonne suite pour les aventures de sonic au cinéma deja le premier film était super bienun bon divertissement pour toute la famille avec un jim carrey en pleine formeune suite explosive trop cool",1
"3,0","Malgré deux nouveaux personnages de l'univers du jeu vidéo ""SONIC"" (Knuckles et Tails), nous sommes assez loin de la catchline de l'affiche ""2 fois plus de fun"".On tend plutôt vers ""2 fois moins d'étonnement"" si l'on se réfère au premier opus sorti en 2020, qui avait le double mérite de la nouveauté et de l'effet de surprise.C'est malheureusement le risque avec les ""suites"", il faut savoir conforter les fans dans une zone connue et appréciée, mais réussir également à relancer l'intérêt en osant quelques nouvelles recettes...Ce Sonic version 2 distrait et amuse dans un rythme souvent soutenu, c'est certain, mais n'arrive pas vraiment à insuffler quelque chose de totalement novateur en comparaison de son prédécesseur.Jim Carrey est par contre toujours aussi piqué et succulent !!Assez plaisant, mais finalement un léger ton au-dessous du numéro 1.Site CINEMADOURG.free.fr",2
"4,0","Très bon film ont retrouve ce qui fait l’esprit de Sonic dans ce film clairement un cran en plus du premier je trouve est reste un très bon film d’aventure d’action familiale pour toutes la famille foncé le voir vous ne s’aurait pas déçu 😉😊",3
"4,0","Super film de ouf, le fait que Knuckles soit du côté d'Eggman au début, les références aux jeux de base et la fidélité aux jeux de base c'est vraiment un truc que j'ai vachement apprécié dans tout le film, l'inclusion de Tails, Knuckles, la Master Emerald
spoiler: 
, les Chaos Emeralds et même SUPER SONIC
 c'est vraiment très fun à regarder en tant que fan de Sonic surtout les scènes où Sonic court vite (ça semble bête à dire comme ça mais 
spoiler: 
par exemple la scène où Sonic court sur l'eau et esquive les vagues
 c'est vraiment cool), 
spoiler: 
la scène de course poursuite entre Knuckles et Sonic & Tails, dans le temple de la Master Emerald, et surtout le combat final
 bref y'a plein de trucs très stylés dans ce film, la CGI marche super bien, la VF est bien notamment Sonic Tails et Knuckles qui ont des super voix, même Sonic n'en déplaise à tous les haters de Malik Bentalha bref c'est un film très sympa même si 
spoiler: 
y'a des scènes avec les humains franchement pas super utiles mais qui sont plus fun que dans le premier
 donc ça va tranquille. 
spoiler: 
Puis la scène post-crédit qui annonce un 3 avec SHADOW ça me hype bien",4
"4,0","Super à voir en famille, parent enfants, aucun des deux ne vont s'ennuyer, bien rythmé avec des scènes que j'ai trouvé amusantes.(Jim Carrey toujours aussi exceptionnel dans ce personnage).",5
"2,5","Bon alors je trouve que la transposition de l'univers Sonic dans le monde réel est assez réussie, les personnages sont attachants et l'écriture est plutôt correcte. Les personnages rigolos se succèdent et Jim Carrey est succulent en Robotnik complètement barge. Bon par contre c'est vrai que passé 12 ans on risque de s'ennuyer tant le scénario est plat, les quarantenaires en quête de références s'approchant du matériau orignal seront aussi un peu déçus par le manque de substance. Disons que ça aurait pu être pire.",6
"4,0","Grand fan de Sonic, j'ai fait quelques kilomètres pour trouver une séance en VOSTFR (à recommander). Sonic 2 est la digne suite du premier, avec tout en plus : vannes, scènes d'action, Sonic qui court vite. Knuckles prend toute sa place, le robotnik de Jim Carrey est encore plus fou, Tails est.. oubliable mais mignon ? Même les personnages humains ont quelques bonnes scènes bien marrantes. N'oubliez pas de rester pour la scène post-gen qui vaut le détour... Trop hâte de voir la suite !",7
"0,5","Sonic se rêve en justicier, façon super-héros, sauvant la veuve et l’orphelin dans la petite ville de Green Hills. Sauf que le Dr Robotnik est de retour, bien décidé à éliminer une bonne fois pour toute le hérisson anthropomorphe…Qui aurait cru que la première adaptation, Sonic (2020), rencontrerait autant de succès (rapportant plus de 3 fois sa mise de départ). Alors qu’un incroyable badbuzz avait précédé la sortie mondiale du film. C’est donc sans réelle surprise que Paramount a donné son feu vert pour lancer cette suite purement mercantile & opportuniste, qui s’adresse essentiellement aux enfants et aux fans de la première heure.Histoire de rajouter un peu de consistance au script (et parce que la guéguerre entre Sonic & Robotnik, à un moment donné, ça devient redondant), deux nouveaux personnages viennent se rajouter au récit, à savoir Knuckles (l’échidné à dreadlocks) et Tails (le renard à deux queues).Très clairement, le film est orienté vers la tranche d’âge 6-12ans, à en voir l’humour et les gags bas du front (il y est souvent question de flatulence, sans oublier Tails avec son (je cite) ""fessier-copter""). Les personnages secondaires (James Marsden en tête) servent quant à eux à meubler les sous-intrigues toutes plus futiles les unes que les autres (visiblement, Jeff Fowler ne sait pas trop quoi faire d’eux et tente tant bien que mal de leur trouver une consistance).Sonic 2 (2022) est l’exemple même du produit calibré pour son auditoire (les gamins), on se retrouve devant une adaptation assez insipide et fade, qui se contente de ne faire que du remplissage pendant deux longues heures (Sonic seul dans la maison qu’il transforme en ProjetX, Sonic en Sibérie dans une battle de danse, …). Bref, on a largement de quoi se faire chier, d’ailleurs, on se demande encore quel était l’intérêt de faire autant de références à la pop culture (qui n’apportent strictement rien au film), pêle-mêle on y retrouve Batman, Uber, Professor X, Le Soldat de l'hiver et même le Monopoly.Alors que le premier opus sortait en salles en février 2020, moins d’un an plus tard, le tournage du second volet démarrait. Réalisé dans la précipitation et avec une post-prod de moins de 6 mois, il n’est pas surprenant de se retrouver avec des CGI aussi déprimants (les textures sont toutes plus foirées les unes que les autres et à de trop nombreuses reprises les interactions entre les acteurs et les personnages en CGI ne collent pas).L’ennui, c’est que l’on n’est pas près d’en finir avec Sonic, puisqu’un 3ème opus est déjà annoncé 
spoiler: 
(comme en atteste la scène post-générique avec l’apparition de Shadow).
● http://bit.ly/CinephileNostalGeek ● http://twitter.com/B_Renger ●",8
"1,0","S’il conserve la bêtise et la laideur de son aîné, Sonic 2 a le mérite d’offrir à Jim Carrey un espace de jeu plus important : nous le voyons cabotiner, sauter partout et tomber, évoluer au sein d’une forêt de champignons géants ou critiquer le goût dilué d’un café à son image. L’acteur, conscient de la médiocrité du projet, s’amuse comme un enfant profite de l’absence d’autorité pour faire n’importe quoi ; il commence d’ailleurs par parodier Tom Hanks dans Cast Away (2000) avec un meilleur ami imaginaire plaqué sur un rocher. Pour autant, il ne recouvre guère la démesure d’un Ace Ventura, témoigne au contraire de la galvanisation hollywoodienne de son personnage dégradé en pseudo label qualité d’un vulgaire produit de consommation vendu à un public familial peu regardant. Le reste est en tout point similaire au désastre précédent : omniprésence de ce second degré stérile qui paralyse tant de blockbusters contemporains, laideur des images numériques, absence de mise en scène. Car il y avait certainement davantage de cinéma dans le jeu vidéo que dans ces piteuses adaptations.",9
"5,0","Franchement la presse abuse sur la note j'ai eu des frissons du début jusqu'à la fin aucun décrochage du film qu'elle chef d'oeuvre et en plus rester bien jusqu'à la fin du film vous aurez une sacré suprise après le generique et les personnages également bien mis en avant l'histoire vraiment bien et très toucher mon coup de cœur",10
"1,5","Une suite uniquement tournée vers les plus jeunes avec ses gags de cour de récré et son histoire gorgée de bons sentiments niais, dans laquelle Jim Carrey semble venir uniquement récupérer son dernier chèque (il souhaite vraiment arrêter sa carrière sur ce rôle ? Ce mastodonte du cinéma mérite mille fois mieux...). Aussi, si vous voulez vous offrir deux heures de roupillon salvateur tandis que les marmots rigolent, Sonic 2 est idéal, à la limite d'être remboursé par la Sécu. Et si vous y allez sans marmot, vous pouvez déjà vous préparer à voir une intrigue de mariage longue et ridicule digne d'une série B américaine, deux nouveaux personnages (Tails et Knuckles) doublés avec des voix encore plus irritantes que celle de Malik Bentalha (on ne pensait pas cela possible, ils nous ont prouvé l'inverse), un Jim Carrey assez dispensable (il passe nettement après le trio Sonic / Tails / Knucles, sauf dans un final qui se rappelle qu'il existe et l'exploite vingt minutes), une durée infernale (2h05...qu'on a vraiment senties passer), et évidemment le niveau des gags qui ne vous est pas destiné (assez consternant si on n'a plus 5 ans). Ceci dit, les effets spéciaux ne sont pas vilains (les animations des créatures numériques sont bien faites, si seulement les figurants pouvaient se donner la peine de regarder au bon endroit...), la morale bienpensante dégoulinant de bons sentiments ne fait pas de mal aux enfants, et ces derniers passent généralement un bon moment (ceux de la salle étaient très réceptifs, les parents beaucoup moins). On a passé un moment long, très long, se sentant vraiment oublié par le niveau des vannes (aucune pour les plus de 8 ans), agacé par les doublages irritants, et désolé pour le fameux Jim qui est ici une marionnette tristement dispensable. Même le magnifique travail de doublage d'Emmanuel Curtil, à saluer encore, ne réussit pas à sauver son modèle, délirant dans l'opus précédent, transparent dans celui-ci. A réserver aux tout-petits.",11
"1,5","""Sonic 2"" est une suite paresseuse et opportuniste qui ne conserve que les défauts de son prédécesseur. C'est souvent très laid, assez stupide et sans grand intérêt...https://www.cineserie.com/critiques/cine/sonic-2-une-suite-opportuniste-5008542/https://www.cineserie.com/news/cinema/sonic-2-focus-sur-la-scene-post-generique-5014261/https://www.cineserie.com/news/cinema/sonic-2-idris-elba-a-improvise-une-partie-des-dialogues-de-knuckles-5030788/",12
"1,0","Jamais drôle, ni surprenant, même souvent gênant, Sonic 2 est un ramassis de mauvaise idée qui ne convaincra personne, encore moins par son esthétique et son scénario, aussi vide qu'une huître déjà mangé et tellement bête qu'on pourrait te faire croire que les Mammouths existe encore. Bref, je le conseille vraiment pas.",13
"3,0","----------------------------POST-GENERIQUE----------------------------Plus ambitieux que le premier sur nombreux éléments, mais d'un autre côté... Le premier était pour un public enfant (béta) ET les adultes: il y a des ester eggs, une seconde lecture (bien que légère) etc...Mais là c'est avant tout plaire aux jeunes enfants... et si ça plait aux adultes c'est bonus.Salle comble (d'enfants), les quelques éléments du premier où on se retrouve enfoncé dans le siège avec un Sonic insupportable sont poussés au paroxysme; des vans dignes d’un autre siècle ne fonctionnant pas (ou faisant au mieux sourire gras), un Sonic préado en roue libre, un Robotnik alias Jim Carrey en roue libre: tout est caricatural; Les gadgets de Tails sont des cochonneries en plastique directement sortis des magasins de produits dérivés du film, avec, à côté, un lot de sucettes (robots, émeraudes, nouveaux personnages, refs à différents jeux, etc…) mais n’ayant jamais le bon emballage! (la séquence à Seattle se terminant avec de l’eau sortant des égouts et un Sonic regardant le spectacle sous la pleine Lune à l’instar du début de ‘Sonic Adventure’, avec le mot ‘Chaos’ apparaissant même dans le titre du journal du lendemain, mais sans que Chaos n’apparaisse jamais (ni Tikal)), tous les appareils de Robotnik, bien qu’ayant souvent des traits fidèles: d’un blanc immaculé, Robotnik lui-même: enfin dans sa veste rouge: mais pas celle que l’on connait, le biplan de Tails est rouge au lieu d’être jaune, Tails, qui, au-delà de sa voix ‘particulière’ dans la VF, n’est pas du tout développé; L’’émeraude mère’, parce qu’il faut que les personnages puissent la prendre dans leur main: a une taille semblable aux 7 émeraudes, 7 émeraudes qui quant-à elles se retrouvent à être minuscules (et pour le coup ridicules), des plans faisant penser à ceux de Sonic Adventure (et sa forêt labyrinthique), mais là uniquement pour la déco, les yeux de Knuckle qui s’illuminent on ne sait pas trop pourquoi, « l’île », sortant de l’eau, mais ne s’envolant pas, et en parallèle: Knukles qui utilise ses points pour escalader, Tails qui vole en tenant Sonic par la main, Sonic utilisant sa forme sphérique pour se battre, dont la vitesse lui permet de se retrouver coller à des parois, pleins de détails propres aux jeux, montrés, mais au final au second plan (surf sur un débris de robot), derrière une nouvelle scène de danse n’ayant rien à faire là mais beaucoup plus longue et beaucoup plus gênante que dans le premier, un humour ‘péter-roter’ plus poussé, des éléments de détail dans le premier qui arrivent au premier plan dans le 2 gagnant en infantilité, cassant l’effort avec la facilité, le scénario tenant sur trois pages; Le film en parvient à être moins fidèle à l’univers de Sonic malgré qu’il en montre bien plus que son prédécesseur.Plus riche, mieux abouti, mais sortant du spectacle de trop nombreuses fois.Trop joyeux, malgré des passages plus grave (les scènes de destruction du dernier acte sont plutôt saisissantes): Sonic, blessé, recouvert de boue, des blessures sur le front de sa famille humaine dans un lieu hautement dangereux et risquant la mort: mais à l’humeur jamais éteinte.Une introduction du GUN que l’on peut presque manquer.",14
"4,0","Cette suite n'est pas décevante du tout . Il y a l'action et l'humour qu'il faut , et les personnages ( TAILS et KNUCKLES ) , de l'univers de hérisson , qui apporte le FUN .",0
"5,0","Suite plus que réussi qui en plus a réussi à être bien meilleur que le premier beaucoup de référence pour les personnes qui on fait les jeux par le passé",1
"3,5","Le premier opus était suffisamment distrayant pour faire une suite et donc nous revoilà parti pour une nouvelle aventure avec 2 nouveaux personnages Taills le renard et Knuckles le....rouge!!! On reprend Jim Carrey (toujours un plaisir de le revoir!) dans le rôle du savant fou et l'on voit que même si cabotine un chouia trop par moment et bien il s'éclate à jouer ce rôle. Après c'est un peu léger niveau humour mais encore une fois distrayant pour passer un bon moment avec ces enfants. Cela rappel encore l'époque de la Mega Drive souvenir souvenir...les bruitages avec les anneaux ou quand passe en mode ""boule"" ou quand il prend une bulle d'air sous l'eau (combien de fois jsuis mort dans les niveaux marins!!!!!).Toujours embêter par la voix de Bentalha qui ne représente en rien ce personnage haut en couleur et plein d'énergie tout le contraire avec ce charisme d'un bulot sous anti dépresseur...contrairement à Knuckles avec la voix française de Idris Elba qui en impose. Mais passe un bon moment et post générique à voir juste après première série de nom à l'écran je préviens.^^ Mes garçons ont adoré en tous cas!!!!NOTE : 6.75/10",2
"3,0","Sonic 2 duquel je n'attendais absooolument rien c'est avéré être une bonne surprise. On reste bien évidemment dans un film destiné avec un public jeune, et même si je regrette que l'humour ne soit parfois pas plus subtil, ça fonctionne pas trop mal.De fait tout est très attendu mais le rythme est suffisamment bien géré pour que je ne voie pas les 2h passer alors que je m'attendais à soupirer d'ennui.Le principal bémol, c'est les personnages secondaires humains ( excepté Eggman ) qui ne servent à rien, n'apportent rien et qu'on se traine tout le long du film en voyant bien que c'est un boulet pour le film. De plus , les 3/4 des interactions ou dialogues rapprochés entre un humain et un des personnages animé font faux et peu crédibles.Etonnamment pas si mal donc, et même sympa mais rien de mirobolant ou révolutionnaire.Salut bye !",3
"4,0","Nous retrouvons un robotnik devenu fou mais toujours aussi, voir plus, ingénieux, beaucoup moins drôle que dans le premier opus, son humour s'est vraisemblablement transformé en puissance et folie mais personnage très inspirant contrairement à Sonic qui semble ne pas avoir évolué et reste un enfant, cette fois accompagné de 2 personnages de son univers, à voir !",4
"2,0","Sonic est de retour au ciné pour le plus grand plaisir des petits et grands ! Enfin, plus des petits, ou peut-être juste pour les grands qui ont gardé leur âme de gosse ! Mascotte culte pour nous les ""vieux"" qui ont connu les premières générations de consoles, Sonic peine à garder de sa superbe génération après génération, faute de jeux vraiment réussis. Au cinéma, il ne brille pas vraiment non plus, remplissant facilement les cases de la comédie familiale standard, mais sans éclat. Visuellement c'est réussi, il n'y a pas trop de temps mort, les fans seront ravis de retrouver un knuckles très en forme et un Robotnik plus proche des jeux. Avec encore plus de références à cette saga vidéoludique aux pixels saillants, on pourrait apprécier le film si l'humour et le scénario n'était pas si faciles et bas de gamme. Bref, Nintendo et Illumination nous préparent un film Mario pour l'année prochaine, espérons qu'ils s'en sortent mieux.",5
"1,5","Autant le premier était pas mal, autant cette suite est ridiculement mauvaise, mal scénarisée et mal jouée.Même l'humour n'est pas marrant, c'est dire.",6
"2,0","Une suite aussi laborieuse que le 1er film , même si on notera quelques références sympathique avec le jeux vidéo ( décors qui ressemble à certains niveaux , les personnages de tails et knuckles etc...) le film enchaîne mauvaises blagues sur mauvaises blagues et certaines scènes ne sert à rien au film,( l'intrigue du mariage a Hawaï etc ... ) bref un film soi disant pour les enfants ... pauvres gamins !!!!",7
"2,5","2 ans pile après la dernière affiche que j'ai vu avant le Covid, le hérisson bleu revient dans une nouvelle aventure quelque peu, on ne pas se le cacher, facile à suivre voir même, trop simpliste avec bien des moments moyennement utiles. Un second volet ou je n'peux très clairement pas acclamer la qualité visuelle tant cette dernière ne fait, ni honneur au studio produisant et distribuant le film, ni au genre du film. Une qualité approximative qui me déçois clairement et montre pour la Paramount, une baisse qualitative, cela étant bien dommage quand au nombre bien maigre de films sortis en salle sous le label montagneux. Sur le plan sonore par contre rien à dire les oreilles en auront largement pris pour leur grade. Sur les jeux respectif, je maintiens mon ""dégoût"" de voir le roi comique américain Jim Carrey sous les traits de Robotnik puisque ce dernier caricature, abuse et surdose les grimaces, humour ""guignolesque"" et gestuelles en tous d'un personnage, bien plus ""enrober"" de base et nettement plus sérieux et crédible dans la série animée. Puis le script de nos héros animés qui, personnellement, est d'une autre époque, trop simplet voir même, trop gentillet, trop de politesse pour un film qui mériterait un peu plus de familiarité verbale sans non plus aller se risquer d'aller dans la vulgarité. Un nouvel ennemi finalement allié qui lui aussi, hérite d'un script aussi simplet que trop banal (incohérence par rapport au programme animé), puis des personnages secondaires, humains cette fois-ci, en roue assez libre, seul Tika Sumpter parvient à rendre son jeu plus ""adulte"". Enfin, le final nous offre nombre de plans héroïques, ressemblance à l'univers Marvel / DC savoureuses avec quelques clins d'œil notables, et l'affrontement ultime très épique. Un N°2 à demi teinte qui me laisse perplexe sur l'évident 3ème volet dont la scène post-générique nous en fait l'annonce avec une énième nouvelle ennemi en devenir, mais à force d'obtenir un parler trop simplet, un visuel aux limites du décevant et une dose presque insupportable de fioritures verbale, me rendre en salle pour la 3ème affiche reste à être questionner. Pour cela, des changements radicaux, il faut entreprendre.",8
"5,0","c est un chef d oeuvre déja le 1 était excellent mais dans le deux on se rent compte du pouvoir du mécant l homme a la moustache et de l amitié de la gentiellesse et de se rendre compte qu aider les autre est important.",9
"3,0","La cible est clairement les enfants mais sinon c'est un bon divertissement; je pense que j'aurais adorer à 10-12 ans.Le film est généreux et le personnage de Sonic est très réussi; c'est un pur héros à la Luffy ou Naruto qui ne tombe jamais dans l'apitoiement de l'adolescent relou.Point négatif: le personnage de Jim Carrey et les scènes de surjeu vraiment longues et ratées (dans le doute cela est peut-être imputable à la vf).",10
"3,0","Un film très gamin faut l’avouer. J’ai pas passé une horrible séance mais juste c’est enfantin quoi…Là où le premier c’était limite, se second opus en fait dès caisse….Bref6/10Publié le 01 avril 2022",11
"4,5","En tant que grand fan de Sonic, j'aurais jamais cru voir un jour un film comme ça au cinéma : C'ÉTAIT INCROYABLE !Ce film est une vraie réussite pour moi, il y a exactement tout ce que j'attendais d'un film Sonic, c'est une véritable lettre d'amour au fans de la licence !Déjà que j'avais bien aimé le 1er film mais alors ce 2e film le surpasse largement à tous les niveaux, il le surpasse tellement qu'on aurait limite l'impression que le 1er film n'était qu'un ""prototype"" en comparaison !En terme d'histoire et d'adaptation des jeux, si le 1er film s'inspirait de ""Sonic 1"", alors ce 2e film s'inspire à la fois de ""Sonic 2"" et ""Sonic 3 & Knukles"" !Le scénario est non seulement bien meilleur que le 1er film mais aussi beaucoup plus ambitieux, le lore de Sonic est encore plus exploité (Tails, Knukles, le peuple Echidné, les Chaos Emerauld,...), avec même des lieux du film qui sont directement inspirés des environnements des jeux : comme par exemple les montagnes enneigées de Sibérie qui font référence à ""Ice Cap Zone"", où même le temple perdu à Hawaï qui fait référence à ""Labyrinth Zone"" et ""Hidden Palace"" !On à 2 fois plus d'actions, 2 fois plus d'aventures, 2 fois plus de fun et 2 fois plus de références et de clins d'œil à la licence, avec aussi des références à Sonic Adventure 1, Sonic Adventure 2, Sonic Heroes et même à l'animé Sonic X !Les personnages sont tous très bons aussi : Sonic reste le héros fidèle à lui même qu'on connait, Tom & Maddie sont toujours aussi sympas, Jim Carrey en Robotnik est encore plus excellent que dans le 1er film et Tails & Knukles sont super cools, bien introduit et totalement fidèles à leurs versions dans les jeux !Et surtout le climax du film qui est absolument génial : le trio Sonic/Tails/Knukles = INCROYABLE, le fait d'avoir la ""Team Sonic"" de ""Sonic Heroes"" en action dans le film était tellement jouissif, 
spoiler: 
et l'apparition de Super Sonic qui était juste énorme en plus d'être totalement inattendu (en tout cas perso je ne l'avais pas vu venir, et quand je l'ai vu c'était magnifique)
 !Le seul vrai défaut du film pour moi c'est la VF, j'ai toujours du mal avec Malik Bentalha !Autant dans le film précédent je l'avais à peu près toléré justement parce qu'il était tout seul au doublage mais alors la c'est encore pire, parce que non seulement sa voix ne colle pas du tout avec Sonic mais en plus quand on le met à côté des voix française de Tails et de Knukles (qui elles pour le coup sont excellentes), on sent qu'il y a un vrai décalage entre les 3 et ça fait tache, c'est trop dommage !Ensuite on a la scène post-credit 
spoiler: 
qui nous tease l'arrivée de Shadow dans le 3e film, et là je suis partagé : d'un côté je suis content et hypé mais en même temps ça me fait quand même un peu peur, personnellement je trouve que c'est encore trop tôt pour nous introduire Shadow directement maintenant, à voir par la suite
 !Sinon voilà : ce film est excellent, je l'ai adoré et je suis très hypé pour le 3 !En plus Paramount a confirmé qu'ils travaillent maintenant sur un ""Sonic Cinematic Universe"", c'est trop génial, je suis trop content et j'ai hâte de voir ce que ça va donner, ça va être INCROYABLE !",12
"4,0","C'est une bonne suite ! On retrouve l'action, l'humour, l'aventure et l'attachement aux personnages comme on avait dans le 1. On passe un super bon moment, à aller voir en famille !",13
"4,0","Sonic 2 est un film honorable avec un peu de fan services de l'action et un Jim Carrey au meilleur de sa forme.J'ai trouvé que ce sequel était plus sérieux que le premier et également bient plus surprenant que le premier, celon moi ce film est une adaptation de qualité pour le hérison de Sega qui arrive enfin à faire bonne impresion grâce au cinéma. Pour finir j'ai passer un agréable moment à regarder ce film et je le recommande absolument pour les fans du hérison bleu.",14
"4,0","Idéal pour un aprem en famille ! On reste dans la veine du 1er opus ou on arrive en quelques sortes a sa suite direct et le retour du gros méchant Dr Robotnik... Comme dans l histoire précédente, on connaît vaguement la finalité... Mais pour cela, Sonic tient les rennes avec Knucles qui rappellera de nombreux souvenirs sans doute aussi aux parents qui ont pu le connaître lorsqu'il était présent dans le jeu vidéo... Un visuel clair, une trame posé assez vite ; mais ne manquant pas de nous emmener avec pour le reste des aventures que Sonic et son ami vont devoir faire face pour la survie de la planète. Bref, cette suite se veut simple, dans le sens du premier opus (là où le réal aurait pu tenter d innover ou exploiter de nouvelles choses mais cela aurait été un pari plus risqué). Et nous offre un film ni trop court ni trop long ou l'on ressort ayant passé un bon petit moment.",0
"4,0","Une agréable suite des aventures de Sonic !! C'est divertissant et fun avec l'arrivée de nouveaux persos !! Le casting original est de retour et Jim Carrey est toujours aussi dingo !! C'est rythmés et le film est parsemé de petits clins d'oeil aux jeux vidéos !! Les effets spéciaux sont de qualité !! Le trio Sonic Tails Knucklles sont parfaits !!",1
"3,0","Cette suite de l’adaptation du célèbre héros de jeu vidéo tient la route. Une nouvelle fois, ""Sonic"" ne manque pas de rythme ni de gags, avec l'apparition de nouveaux personnages truculents. Ce film avant tout destiné aux plus petits se révèle toujours aussi survitaminé et réjouissant.",2
